epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.198,1.39457,1.47119,1.02384,0.51368,0.4761,0.45323,0.28846,1.51404,1.65281,1.13814,0.000676948,0.000676948,0.0690439
2,477.915,1.36623,1.31334,1.01525,0.63449,0.48625,0.52544,0.33982,1.43549,1.44144,1.10151,0.0013402,0.0013402,0.0380312
3,718.151,1.28207,1.20689,0.98377,0.66384,0.50157,0.5577,0.37368,1.33052,1.33734,1.06099,0.00194596,0.00194596,0.00696096
4,957.714,1.21562,1.10301,0.95065,0.67693,0.5736,0.61817,0.42101,1.25931,1.19111,1.02359,0.00193833,0.00193833,0.00193833
5,1197.09,1.15874,1.03776,0.92413,0.74655,0.57906,0.66016,0.45172,1.19527,1.14324,0.99785,0.00179061,0.00179061,0.00179061
6,1433.21,1.14704,0.97393,0.90627,0.704,0.59149,0.64841,0.4428,1.18077,1.10822,0.97669,0.00161201,0.00161201,0.00161201
7,1668.36,1.08935,0.90217,0.87881,0.73554,0.61253,0.68474,0.4722,1.15122,1.07171,0.97309,0.00141033,0.00141033,0.00141033
8,1903.16,1.04076,0.84358,0.86026,0.70963,0.64295,0.69107,0.48367,1.1133,1.03882,0.95691,0.0011944,0.0011944,0.0011944
9,2138.15,0.99179,0.78796,0.83934,0.73542,0.64737,0.68352,0.48603,1.10183,1.02445,0.9536,0.000973637,0.000973637,0.000973637
10,2373.31,0.95404,0.74455,0.82166,0.72263,0.65265,0.70072,0.49819,1.0835,1.01826,0.94186,0.0007577,0.0007577,0.0007577
11,2608.46,0.91551,0.69997,0.80667,0.71815,0.67412,0.71148,0.51391,1.06664,0.99444,0.93723,0.000556026,0.000556026,0.000556026
12,2843.65,0.87667,0.65937,0.79057,0.75106,0.66391,0.714,0.50813,1.06223,1.00135,0.9374,0.000377426,0.000377426,0.000377426
13,3079.01,0.85159,0.6296,0.78101,0.75021,0.67991,0.71743,0.51868,1.04252,0.96754,0.92986,0.000229709,0.000229709,0.000229709
14,3314.12,0.82424,0.60316,0.7702,0.7549,0.67968,0.71415,0.51797,1.0456,0.98446,0.93494,0.000119329,0.000119329,0.000119329
15,3549.36,0.81253,0.58722,0.76761,0.75281,0.6791,0.71733,0.52157,1.03908,0.98365,0.92916,5.11098e-05,5.11098e-05,5.11098e-05
