epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.272,1.39457,1.47119,1.02384,0.51368,0.4761,0.45323,0.28846,1.51404,1.65281,1.13814,0.000676948,0.000676948,0.0690439
2,485.778,1.34983,1.29508,1.00739,0.66544,0.49344,0.54981,0.35466,1.42129,1.4051,1.08926,0.00122714,0.00122714,0.0379181
3,725.646,1.2318,1.14169,0.96104,0.72068,0.52963,0.60566,0.3971,1.2743,1.23816,1.02679,0.00133961,0.00133961,0.00635461
4,961.596,1.14385,0.98436,0.90479,0.70514,0.60749,0.65413,0.45718,1.15995,1.10006,0.97187,0.0007577,0.0007577,0.0007577
5,1196.25,1.01761,0.83262,0.8525,0.73057,0.6388,0.6894,0.49469,1.06817,0.98295,0.92636,0.000229709,0.000229709,0.000229709
